87.00	119.00
88.00	119.00
86.00	118.00
80.00	113.00
80.00	114.00
76.55	110.96
73.38	110.44
71.76	109.45
67.84	107.30
66.05	106.05
65.80	105.80
61.71	103.68
53.83	100.82
55.15	100.50
55.50	98.56
43.93	91.92
40.73	91.13
37.76	90.33
27.92	84.77
28.41	85.16
52.97	93.44
70.17	96.72
81.75	98.88
92.14	99.34
93.62	97.28
93.97	97.31
97.16	96.80
98.20	93.61
95.79	90.12
95.24	89.71
97.06	87.94
99.02	84.87
97.27	82.44
95.00	81.00
94.18	80.40
87.96	74.97
84.97	74.31
82.87	71.98
77.82	66.60
74.75	64.48
73.47	63.94
69.03	59.61
67.48	58.49
63.37	56.01
60.46	52.63
57.58	49.58
53.65	48.05
49.37	42.96
48.78	42.57
45.81	41.15

