122	96	
121	100	
121	102	
121	102	
121	102	
120	102	
120	102	
120	101	
120	101	
119	101	
119	101	
119	101	
119	100	
118	100	
118	100	
118	100	
117	100	
117	102	
117	102	
117	102	
117	102	
118	102	
117	102	
117	102	
117	101	
117	101	
116	101	
116	101	
116	100	
116	100	
115	100	
115	100	
115	100	
118	101	
119	102	
120	102	
119	102	
119	102	
119	102	
120	101	
119	101	
120	101	
120	101	
120	100	
120	100	
119	100	
119	100	
119	100	
119	100	
120	102	
121	102	
122	102	
121	102	
121	102	
121	102	
121	102	
121	101	
121	101	
121	101	
121	100	
121	100	
121	100	
121	100	
120	99	
120	99	
120	99	
119	99	
119	98	
119	98	
118	98	
118	97	
114	94	
113	94	
113	93	
113	93	
113	94	
113	97	
113	98	
113	98	
113	98	
113	98	
114	98	
114	97	
114	97	
114	97	
114	96	
114	96	
114	96	
114	96	
114	95	
114	95	
113	95	
114	94	
113	94	
113	94	
113	94	
113	93	
113	93	
112	93	
112	93	
