105.00	 48.00
109.00	 50.00
110.00	 55.00
113.00	 60.00
113.00	 53.00
113.00	 53.00
114.00	 54.00
114.00	 54.00
119.00	 50.00
118.00	 51.00
117.00	 54.00
120.00	 45.00
120.00	 43.00
120.00	 46.00
117.00	 43.00
116.00	 42.00
121.00	 43.00
119.00	 54.00
116.00	 58.00
117.00	 58.00
112.00	 59.00
110.00	 58.00
108.00	 59.00
96.00	54.00
94.00	55.00
92.00	59.00
87.00	62.00
85.00	64.00
86.00	69.00
94.00	70.00
101.00	 72.00
101.00	 80.00
101.00	 84.00
103.00	 84.00
104.00	 85.00
110.00	 93.00
111.00	 94.00
111.00	 97.00
106.00	 98.00
104.00	100.00
105.00	100.00
105.00	103.00
104.00	106.00
110.00	109.00
122.00	116.00
123.00	118.00
123.00	118.00
123.00	114.00
123.00	116.00
126.00	115.00
136.00	120.00
135.00	121.00
136.00	119.00
134.00	122.00
131.00	121.00
131.00	122.00
129.00	123.00
126.00	121.00
126.00	121.00
126.00	121.00
126.00	121.00
127.00	119.00
124.00	119.00
123.00	116.00
123.00	118.00
120.00	117.00
120.00	116.00
122.00	115.00
120.00	114.00
119.00	113.00
119.00	113.00
124.00	115.00
125.00	117.00
132.00	121.00
132.00	123.00
131.00	123.00
128.00	124.00
123.00	123.00
123.00	122.00
123.00	123.00
123.00	123.00
124.00	125.00
124.00	124.00
125.00	125.00
123.00	126.00
123.00	128.00
120.00	124.00
120.00	122.00
118.00	125.00
119.00	127.00
121.00	127.00
121.00	127.00
119.00	131.00
114.00	130.00
110.00	129.00
113.00	131.00
112.00	130.00
109.00	130.00
106.00	132.00
111.00	133.00

