117	141
117	140
117	140
117	140
117	142
117	142
117	142
117	142
118	142
119	141
120	141
120	141
120	141
120	141
120	142
119	142
119	142
119	142
119	142
119	142
118	142
118	142
118	143
118	142
118	142
118	141
117	141
117	141
117	141
117	141
117	141
117	142
117	142
117	142
117	142
117	142
118	142
118	142
119	142
119	142
118	141
118	141
118	141
118	141
118	141
117	141
117	141
117	141
117	141
116	142
116	142
116	142
116	142
116	142
115	142
115	142
115	141
115	141
115	140
115	140
114	141
114	141
114	141
114	141
114	141
114	141
114	141
114	141
114	142
114	142
115	142
116	142
117	141
118	140
119	140
118	140
118	140
118	140
118	140
117	140
117	140
117	141
117	141
117	141
116	141
116	141
116	141
116	141
116	140
116	139
116	139
116	139
115	139
116	140
116	140
116	140
116	140
116	140
117	140
117	140
